id;type
1;None
2;Steel/Carbon Steel/Iron
3;Galvanized Steel
4;Stainless Steel Alloy
5;Fiberglass Coated Steel
6;Steel Encased in Concrete
7;Fiberglass Reinforced Plastic (FRP)
8;Plastic
9;Equivalent Technology
10;Concrete
11;Copper
12;Flexible Piping
13;Other
