id;type
1;AC UNIT
2;AED
3;RPZ
4;BOILER
5;BULK OXYGEN STORAGE
6;COGEN TURBINE
7;COOLING TOWER
8;ELEVATOR &ESCALATOR
9;EMERGENCY E & L
10;FIRE ALARM
11;FIRST AID KIT INSPECTIONAL
12;FUMEHOOD
13;GENERATOR
14;HYDRAULIC STORAGE TANK
15;INCINERATOR & CREMATORIES
16;KITCHEN HOOD FIRE SUPPRESSION
17;MISCELLANEOUS
18;PAINT SPRAY BOOTH
19;PORTABLE FIRE EXTINGUISHER
20;PRINTING PRESS
21;STACK
22;ETO
23;LAND FILL
24;PETROLEUM BULK STORAGE
