id;type
1;Steel/Carbon Steel/Iron
2;Galvanised Steel Alloy
3;Stainless Steel Alloy
4;Fibreglass Coated Steel
5;Steel Tank in Concrete
6;Fibreglass Reinforced Plastic (FRP)
7;Plastic 
8;Equivalent Technology
9;Concrete
10;Urethane Clad Steel
11;Other
